Placeholder,District,Mandal
Mandal_District_9_12,Karimnagar,Ramadugu
Mandal_District_9_13,Karimnagar,Shankarapatnam
Mandal_District_9_14,Karimnagar,Thimmapur
Mandal_District_9_15,Karimnagar,V_Saidapur
Mandal_District_9_16,Karimnagar,Veenavanka
Mandal_District_10_1,Khammam,Bonakal
Mandal_District_10_2,Khammam,Chinthakani
Mandal_District_10_3,Khammam,Enkuru
Mandal_District_10_4,Khammam,Kalluru
Mandal_District_10_5,Khammam,Kamepalle
Mandal_District_10_6,Khammam,Khammam_Rural
Mandal_District_10_7,Khammam,Khammam_Urban
Mandal_District_10_8,Khammam,Konijerla
Mandal_District_10_9,Khammam,Kusumanchi
Mandal_District_10_10,Khammam,Madhira
Mandal_District_10_11,Khammam,Mudigonda
Mandal_District_10_12,Khammam,Nelakondapalle
Mandal_District_10_13,Khammam,Penuballi
Mandal_District_10_14,Khammam,Raghunadhapalem
Mandal_District_10_15,Khammam,Sathupalle
Mandal_District_10_16,Khammam,Singareni
Mandal_District_10_17,Khammam,Thallada
Mandal_District_10_18,Khammam,Thirumalayapalem
Mandal_District_10_19,Khammam,Vemsoor
Mandal_District_10_20,Khammam,Wyra
Mandal_District_10_21,Khammam,Yerrupalem
Mandal_District_11_1,Kumuram Bheem,Asifabad
Mandal_District_11_2,Kumuram Bheem,Bejjur
Mandal_District_11_3,Kumuram Bheem,Chintalamanepally
Mandal_District_11_4,Kumuram Bheem,Dahegaon
Mandal_District_11_5,Kumuram Bheem,Jainoor
Mandal_District_11_6,Kumuram Bheem,Kagaznagar
Mandal_District_11_7,Kumuram Bheem,Kerameri
Mandal_District_11_8,Kumuram Bheem,Kouthala
Mandal_District_11_9,Kumuram Bheem,Lingapur
Mandal_District_11_10,Kumuram Bheem,Penchikalpet
Mandal_District_11_11,Kumuram Bheem,Rebbana
Mandal_District_11_12,Kumuram Bheem,Sirpur_T
Mandal_District_11_13,Kumuram Bheem,Sirpur_U
Mandal_District_11_14,Kumuram Bheem,Tiryani
Mandal_District_11_15,Kumuram Bheem,Wankdi
Mandal_District_12_1,Mahabubabad,Bayyaram
Mandal_District_12_2,Mahabubabad,Chinnagudur
Mandal_District_12_3,Mahabubabad,Danthalapalle
Mandal_District_12_4,Mahabubabad,Dornakal
Mandal_District_12_5,Mahabubabad,Ganagavaram
Mandal_District_12_6,Mahabubabad,Garla
Mandal_District_12_7,Mahabubabad,Gudur
Mandal_District_12_8,Mahabubabad,Kesamudram
Mandal_District_12_9,Mahabubabad,Kothaguda
Mandal_District_12_10,Mahabubabad,Kuravi
Mandal_District_12_11,Mahabubabad,Mahabubabad
Mandal_District_12_12,Mahabubabad,Maripeda
Mandal_District_12_13,Mahabubabad,Narsimhulapet
Mandal_District_12_14,Mahabubabad,Nellikudur
Mandal_District_12_15,Mahabubabad,Peddavangara
Mandal_District_12_16,Mahabubabad,Thorrur
Mandal_District_13_1,Mahabubnagar,Addakal
Mandal_District_13_2,Mahabubnagar,Balanagar
Mandal_District_13_3,Mahabubnagar,Bhoothpur
Mandal_District_13_4,Mahabubnagar,Chinna_Chintha_Kunta
Mandal_District_13_5,Mahabubnagar,Devarkadara
Mandal_District_13_6,Mahabubnagar,Gandeed
Mandal_District_13_7,Mahabubnagar,Hanwada
Mandal_District_13_8,Mahabubnagar,Jadcherla
Mandal_District_13_9,Mahabubnagar,Koilkonda
Mandal_District_13_10,Mahabubnagar,Mahabubnagar_Rural
Mandal_District_13_11,Mahabubnagar,Mahabubnagar_Urban
Mandal_District_13_12,Mahabubnagar,Midjil
Mandal_District_13_13,Mahabubnagar,Musapet
Mandal_District_13_14,Mahabubnagar,Nawabpet
Mandal_District_13_15,Mahabubnagar,Rajapur
Mandal_District_14_1,Mancherial,Bellampalle
Mandal_District_14_2,Mancherial,Bheemini
Mandal_District_14_3,Mancherial,Bhimaram
Mandal_District_14_4,Mancherial,Chennur
Mandal_District_14_5,Mancherial,Dandepalle
Mandal_District_14_6,Mancherial,Hajipur
Mandal_District_14_7,Mancherial,Jaipur
Mandal_District_14_8,Mancherial,Jannaram
Mandal_District_14_9,Mancherial,Kannepalli
Mandal_District_14_10,Mancherial,Kasipet
Mandal_District_14_11,Mancherial,Kotapalle
Mandal_District_14_12,Mancherial,Luxettipet
Mandal_District_14_13,Mancherial,Mancherial
Mandal_District_14_14,Mancherial,Mandamarri
Mandal_District_14_15,Mancherial,Naspur
Mandal_District_14_16,Mancherial,Nennal
Mandal_District_14_17,Mancherial,Tandur
Mandal_District_14_18,Mancherial,Vemanpalle
Mandal_District_15_1,Medak,Alladurg
Mandal_District_15_2,Medak,Chegunta
Mandal_District_15_3,Medak,Chilipched
Mandal_District_15_4,Medak,Havelighanpur
Mandal_District_15_5,Medak,Kowdipalle
Mandal_District_15_6,Medak,Kulcharam
Mandal_District_15_7,Medak,Manoharabad
Mandal_District_15_8,Medak,Medak
Mandal_District_15_9,Medak,Narsapur
Mandal_District_15_10,Medak,Narsingi
Mandal_District_15_11,Medak,Nizampet
Mandal_District_15_12,Medak,Papannapet
Mandal_District_15_13,Medak,Ramayampet
Mandal_District_15_14,Medak,Regode
Mandal_District_15_15,Medak,Shankarampet_A
Mandal_District_15_16,Medak,Shankarampet_R
Mandal_District_15_17,Medak,Shivampet
Mandal_District_15_18,Medak,Tekmal
Mandal_District_15_19,Medak,Tupran
Mandal_District_15_20,Medak,Yeldurthy
Mandal_District_16_1,Medchal-Malkajgiri,Alwal
Mandal_District_16_2,Medchal-Malkajgiri,Bachpalle
Mandal_District_16_3,Medchal-Malkajgiri,Balanagar
Mandal_District_16_4,Medchal-Malkajgiri,Dundigal_Gandimaisamma
Mandal_District_16_5,Medchal-Malkajgiri,Ghatkesar
Mandal_District_16_6,Medchal-Malkajgiri,Kapra
Mandal_District_16_7,Medchal-Malkajgiri,Keesara
Mandal_District_16_8,Medchal-Malkajgiri,Kukatpally
Mandal_District_16_9,Medchal-Malkajgiri,Malkajgiri
Mandal_District_16_10,Medchal-Malkajgiri,Medchel
Mandal_District_16_11,Medchal-Malkajgiri,Medipally
Mandal_District_16_12,Medchal-Malkajgiri,Muduchinthalapally
Mandal_District_16_13,Medchal-Malkajgiri,Quthbullapur
Mandal_District_16_14,Medchal-Malkajgiri,Shamirpet
Mandal_District_16_15,Medchal-Malkajgiri,Uppal
Mandal_District_17_1,Mulugu,Eturunagaram
Mandal_District_17_2,Mulugu,Govindaraopet
Mandal_District_17_3,Mulugu,Kannaigudem
Mandal_District_17_4,Mulugu,Mangapet
Mandal_District_17_5,Mulugu,Mulug
Mandal_District_17_6,Mulugu,Tadvai
Mandal_District_17_7,Mulugu,Venkatapur
Mandal_District_17_8,Mulugu,Venkatapuram
Mandal_District_17_9,Mulugu,Wazeed
Mandal_District_18_1,Nagarkurnool,Achampet
Mandal_District_18_2,Nagarkurnool,Amrabad
Mandal_District_18_3,Nagarkurnool,Balmoor
Mandal_District_18_4,Nagarkurnool,Bijinapalle
Mandal_District_18_5,Nagarkurnool,Charakonda
Mandal_District_18_6,Nagarkurnool,Kalwakurthy
Mandal_District_18_7,Nagarkurnool,Kodair
Mandal_District_18_8,Nagarkurnool,Kollapur
Mandal_District_18_9,Nagarkurnool,Lingal
Mandal_District_18_10,Nagarkurnool,Nagar_Kurnool
Mandal_District_18_11,Nagarkurnool,Padra
Mandal_District_18_12,Nagarkurnool,Peddakothapalle
Mandal_District_18_13,Nagarkurnool,Pentlavelli
Mandal_District_18_14,Nagarkurnool,Tadoor
Mandal_District_18_15,Nagarkurnool,Telkapalle
Mandal_District_18_16,Nagarkurnool,Thimmajipeta
Mandal_District_18_17,Nagarkurnool,Uppunuthala
Mandal_District_18_18,Nagarkurnool,Urkonda
Mandal_District_18_19,Nagarkurnool,Vangoor
Mandal_District_18_20,Nagarkurnool,Veldanda
Mandal_District_19_1,Nalgonda,Adavi Devula Palli
Mandal_District_19_2,Nalgonda,Anumula_Haliya
Mandal_District_19_3,Nalgonda,Chandampet
Mandal_District_19_4,Nalgonda,Chandur
Mandal_District_19_5,Nalgonda,Chinthapalle
Mandal_District_19_6,Nalgonda,Chityala
Mandal_District_19_7,Nalgonda,Damaracherla
Mandal_District_19_8,Nalgonda,Devarakonda
Mandal_District_19_9,Nalgonda,Gundlapalle
Mandal_District_19_10,Nalgonda,Gurrampode
Mandal_District_19_11,Nalgonda,Kangal
Mandal_District_19_12,Nalgonda,Kattangoor
Mandal_District_19_13,Nalgonda,Kethepalle
Mandal_District_19_14,Nalgonda,Kondamallapally
Mandal_District_19_15,Nalgonda,Madugulapally
Mandal_District_19_16,Nalgonda,Marriguda
Mandal_District_19_17,Nalgonda,Miryalaguda
Mandal_District_19_18,Nalgonda,Munugode
Mandal_District_19_19,Nalgonda,Nakrekal
Mandal_District_19_20,Nalgonda,Nalgonda
Mandal_District_19_21,Nalgonda,Nampalle
Mandal_District_19_22,Nalgonda,Narketpalle
Mandal_District_19_23,Nalgonda,Neredugommu
Mandal_District_19_24,Nalgonda,Nidamanur
Mandal_District_19_25,Nalgonda,Pedda_Adiserlapalle
Mandal_District_19_26,Nalgonda,Peddavura
Mandal_District_19_27,Nalgonda,Saligouraram
Mandal_District_19_28,Nalgonda,Thipparthi
Mandal_District_19_29,Nalgonda,Thripuraram
Mandal_District_19_30,Nalgonda,Tirumalagiri_Sagar
Mandal_District_19_31,Nalgonda,Vemulapalle
Mandal_District_20_1,Narayanpet,Damaragidda
Mandal_District_20_2,Narayanpet,Dhanwada
Mandal_District_20_3,Narayanpet,Kosgi
Mandal_District_20_4,Narayanpet,Krishna
Mandal_District_20_5,Narayanpet,Maddur
Mandal_District_20_6,Narayanpet,Maganoor
Mandal_District_20_7,Narayanpet,Makthal
Mandal_District_20_8,Narayanpet,Marikal
Mandal_District_20_9,Narayanpet,Narayanpet
Mandal_District_20_10,Narayanpet,Narva
Mandal_District_20_11,Narayanpet,Utkoor
Mandal_District_21_1,Nirmal,Basar
Mandal_District_21_2,Nirmal,Bhainsa
Mandal_District_21_3,Nirmal,Dastuarabad
Mandal_District_21_4,Nirmal,Dilawarpur
Mandal_District_21_5,Nirmal,Kaddampeddur
Mandal_District_21_6,Nirmal,Khanpur
Mandal_District_21_7,Nirmal,Kubeer
Mandal_District_21_8,Nirmal,Kuntala
Mandal_District_21_9,Nirmal,Laxmanchanda
Mandal_District_21_10,Nirmal,Lokeswaram
Mandal_District_21_11,Nirmal,Mamda
Mandal_District_21_12,Nirmal,Mudhole
Mandal_District_21_13,Nirmal,Narsapur_G
Mandal_District_21_14,Nirmal,Nirmal
Mandal_District_21_15,Nirmal,Nirmal_Rural
Mandal_District_21_16,Nirmal,Pembi
Mandal_District_21_17,Nirmal,Sarangapur
Mandal_District_21_18,Nirmal,Soan
Mandal_District_21_19,Nirmal,Tanur
Mandal_District_22_1,Nizamabad,Armur
Mandal_District_22_2,Nizamabad,Balkonda
Mandal_District_22_3,Nizamabad,Bheemgal
Mandal_District_22_4,Nizamabad,Bodhan
Mandal_District_22_5,Nizamabad,Chandur
Mandal_District_22_6,Nizamabad,Dharpalle
Mandal_District_22_7,Nizamabad,Dichpalle
Mandal_District_22_8,Nizamabad,Indalwai
Mandal_District_22_9,Nizamabad,Jakranpalle
Mandal_District_22_10,Nizamabad,Kammarpalle
Mandal_District_22_11,Nizamabad,Kotgiri
Mandal_District_22_12,Nizamabad,Makloor
Mandal_District_22_13,Nizamabad,Mendora
Mandal_District_22_14,Nizamabad,Mortad
Mandal_District_22_15,Nizamabad,Mosra
Mandal_District_22_16,Nizamabad,Mugpal
Mandal_District_22_17,Nizamabad,Mupkal
Mandal_District_22_18,Nizamabad,Nan
Mandal_District_22_19,Nizamabad,Nandipet
Mandal_District_22_20,Nizamabad,Navipet
Mandal_District_22_21,Nizamabad,Nizamabad_North
Mandal_District_22_22,Nizamabad,Nizamabad_Rural
Mandal_District_22_23,Nizamabad,Nizamabad_South
Mandal_District_22_24,Nizamabad,Ranjal
Mandal_District_22_25,Nizamabad,Rudrur
Mandal_District_22_26,Nizamabad,Sirkonda
Mandal_District_22_27,Nizamabad,Vailpur
Mandal_District_22_28,Nizamabad,Varni
Mandal_District_22_29,Nizamabad,Yeda_Palle
Mandal_District_22_30,Nizamabad,Yergatla
Mandal_District_23_1,Peddapalli,Antargoan
Mandal_District_23_2,Peddapalli,Dharmaram
Mandal_District_23_3,Peddapalli,Elgaid
Mandal_District_23_4,Peddapalli,Julapalle
Mandal_District_23_5,Peddapalli,Kamanpur
Mandal_District_23_6,Peddapalli,Manthani
Mandal_District_23_7,Peddapalli,Mutharam_Manthani
Mandal_District_23_8,Peddapalli,Odela
Mandal_District_23_9,Peddapalli,Palakurthy
Mandal_District_23_10,Peddapalli,Peddapalle
Mandal_District_23_11,Peddapalli,Ramagiri
Mandal_District_23_12,Peddapalli,Ramagundam
Mandal_District_23_13,Peddapalli,Srirampur
Mandal_District_23_14,Peddapalli,Sultanabad
Mandal_District_24_1,Rajanna-Siricilla,Boinpalle
Mandal_District_24_2,Rajanna-Siricilla,Chandurthi
Mandal_District_24_3,Rajanna-Siricilla,Ellanthakunta
Mandal_District_24_4,Rajanna-Siricilla,Gambhiraopeta
Mandal_District_24_5,Rajanna-Siricilla,Konaraopeta
Mandal_District_24_6,Rajanna-Siricilla,Mustabad
Mandal_District_24_7,Rajanna-Siricilla,Rudrangi
Mandal_District_24_8,Rajanna-Siricilla,Sirsilla
Mandal_District_24_9,Rajanna-Siricilla,Thangallapalle
Mandal_District_24_10,Rajanna-Siricilla,Veernapalle
Mandal_District_24_11,Rajanna-Siricilla,Vemulawada
Mandal_District_24_12,Rajanna-Siricilla,Vemulawada_Rural
Mandal_District_24_13,Rajanna-Siricilla,Yellareddypeta
Mandal_District_25_1,Rangareddy,Abdullapurmet
Mandal_District_25_2,Rangareddy,Amangal
Mandal_District_25_3,Rangareddy,Balapur
Mandal_District_25_4,Rangareddy,Chevella
Mandal_District_25_5,Rangareddy,Chowdergudem
Mandal_District_25_6,Rangareddy,Farooqnagar
Mandal_District_25_7,Rangareddy,Gandipet
Mandal_District_25_8,Rangareddy,Hayathnagar
Mandal_District_25_9,Rangareddy,Ibrahimpatnam
Mandal_District_25_10,Rangareddy,Kadthal
Mandal_District_25_11,Rangareddy,Kandukur
Mandal_District_25_12,Rangareddy,Keshampeta
Mandal_District_25_13,Rangareddy,Kondurg
Mandal_District_25_14,Rangareddy,Kothur
Mandal_District_25_15,Rangareddy,Madgul
Mandal_District_25_16,Rangareddy,Maheshwaram
Mandal_District_25_17,Rangareddy,Manchal
Mandal_District_25_18,Rangareddy,Moinabad
Mandal_District_25_19,Rangareddy,Nandigam
Mandal_District_25_20,Rangareddy,Rajendranagar
Mandal_District_25_21,Rangareddy,Saroornagar
Mandal_District_25_22,Rangareddy,Serilingampally
Mandal_District_25_23,Rangareddy,Shabad
Mandal_District_25_24,Rangareddy,Shamshabad
Mandal_District_25_25,Rangareddy,Shankarpalle
Mandal_District_25_26,Rangareddy,Talakondapalle
Mandal_District_25_27,Rangareddy,Yacharam
Mandal_District_26_1,Sangareddy,Ameenapur
Mandal_District_26_2,Sangareddy,Andhole
Mandal_District_26_3,Sangareddy,Gummadidala
Mandal_District_26_4,Sangareddy,Hathanoora
Mandal_District_26_5,Sangareddy,Jharasangam
Mandal_District_26_6,Sangareddy,Jinnaram
Mandal_District_26_7,Sangareddy,Kalher
Mandal_District_26_8,Sangareddy,Kandi
Mandal_District_26_9,Sangareddy,Kangti
Mandal_District_26_10,Sangareddy,Kohir
Mandal_District_26_11,Sangareddy,Kondapur
Mandal_District_26_12,Sangareddy,Manoor
Mandal_District_26_13,Sangareddy,Mogdampalle
Mandal_District_26_14,Sangareddy,Munipalli
Mandal_District_26_15,Sangareddy,Nagalgidda
Mandal_District_26_16,Sangareddy,Narayankhed
Mandal_District_26_17,Sangareddy,Naykal
Mandal_District_26_18,Sangareddy,Patancheruvu
Mandal_District_26_19,Sangareddy,Pulkal
Mandal_District_26_20,Sangareddy,Raikode
Mandal_District_26_21,Sangareddy,Ramachandrapuram
Mandal_District_26_22,Sangareddy,Sadasivpet
Mandal_District_26_23,Sangareddy,Sangareddy
Mandal_District_26_24,Sangareddy,Sirgapoor
Mandal_District_26_25,Sangareddy,Watpalle
Mandal_District_26_26,Sangareddy,Zahirabad
Mandal_District_27_1,Siddipet,Anthakkapeta
Mandal_District_27_2,Siddipet,Bejjanki
Mandal_District_27_3,Siddipet,Cheriyal
Mandal_District_27_4,Siddipet,Chinnakodur
Mandal_District_27_5,Siddipet,Doultabad
Mandal_District_27_6,Siddipet,Dubbak
Mandal_District_27_7,Siddipet,Gajwel
Mandal_District_27_8,Siddipet,Husnabad
Mandal_District_27_9,Siddipet,Jagadevpur
Mandal_District_27_10,Siddipet,Koheda
Mandal_District_27_11,Siddipet,Komaravelly
Mandal_District_27_12,Siddipet,Kondapak
Mandal_District_27_13,Siddipet,Maddur
Mandal_District_27_14,Siddipet,Markook
Mandal_District_27_15,Siddipet,Mirdoddi
Mandal_District_27_16,Siddipet,Mulug
Mandal_District_27_17,Siddipet,Nanganur
Mandal_District_27_18,Siddipet,Narayanraopet
Mandal_District_27_19,Siddipet,Rayapole
Mandal_District_27_20,Siddipet,Siddipet_Rural
Mandal_District_27_21,Siddipet,Siddipet_Urban
Mandal_District_27_22,Siddipet,Thoguta
Mandal_District_27_23,Siddipet,Wargal
Mandal_District_28_1,Suryapet,Ananthagiri
Mandal_District_28_2,Suryapet,Atmakur_S
Mandal_District_28_3,Suryapet,Chilkur
Mandal_District_28_4,Suryapet,Chinthala Palem
Mandal_District_28_5,Suryapet,Chivvemla
Mandal_District_28_6,Suryapet,Garidepalle
Mandal_District_28_7,Suryapet,Huzur Nagar
Mandal_District_28_8,Suryapet,Jajireddigudem
Mandal_District_28_9,Suryapet,Kodad
Mandal_District_28_10,Suryapet,Maddirala
Mandal_District_28_11,Suryapet,Mattampalle
Mandal_District_28_12,Suryapet,Mellachervu
Mandal_District_28_13,Suryapet,Mothey
Mandal_District_28_14,Suryapet,Munagala
Mandal_District_28_15,Suryapet,Nadigudem
Mandal_District_28_16,Suryapet,Nagaram
Mandal_District_28_17,Suryapet,Neredcherla
Mandal_District_28_18,Suryapet,Noothankal
Mandal_District_28_19,Suryapet,Palakeedu
Mandal_District_28_20,Suryapet,Penpahad
Mandal_District_28_21,Suryapet,Suryapet
Mandal_District_28_22,Suryapet,Thirumalagiri
Mandal_District_28_23,Suryapet,Thungathurthi
Mandal_District_29_1,Vikarabad,Bantwaram
Mandal_District_29_2,Vikarabad,Basheerabad
Mandal_District_29_3,Vikarabad,Bomraspeta
Mandal_District_29_4,Vikarabad,Dharur
Mandal_District_29_5,Vikarabad,Doma
Mandal_District_29_6,Vikarabad,Doulatabad
Mandal_District_29_7,Vikarabad,Kodangal
Mandal_District_29_8,Vikarabad,Kotepally
Mandal_District_29_9,Vikarabad,Kulkacharla
Mandal_District_29_10,Vikarabad,Marpalle
Mandal_District_29_11,Vikarabad,Mominpet
Mandal_District_29_12,Vikarabad,Nawabpet
Mandal_District_29_13,Vikarabad,Pargi
Mandal_District_29_14,Vikarabad,Peddemul
Mandal_District_29_15,Vikarabad,Pudur
Mandal_District_29_16,Vikarabad,Tandur
Mandal_District_29_17,Vikarabad,Vikarabad
Mandal_District_29_18,Vikarabad,Yelal
Mandal_District_30_1,Wanaparthy,Amarchinta
Mandal_District_30_2,Wanaparthy,Atmakur
Mandal_District_30_3,Wanaparthy,Chinnambavi
Mandal_District_30_4,Wanaparthy,Ghanpur
Mandal_District_30_5,Wanaparthy,Gopalpeta
Mandal_District_30_6,Wanaparthy,Kothakota
Mandal_District_30_7,Wanaparthy,Madanapur
Mandal_District_30_8,Wanaparthy,Pangal
Mandal_District_30_9,Wanaparthy,Pebbair
Mandal_District_30_10,Wanaparthy,Peddamandadi
Mandal_District_30_11,Wanaparthy,Revelly
Mandal_District_30_12,Wanaparthy,Srirangapur
Mandal_District_30_13,Wanaparthy,Veepangandla
Mandal_District_30_14,Wanaparthy,Wanaparthy
